sentimiento,texto
alegria,Coñoooo si estaba jugando Messi que lo vi recogiendo la medalla.. ????????. Enhorabuena @CasillasWorld @SergioRamos #CRACKS
alegria,Gran partido con tres pepinos @desfasetotal @JaaviiCarrasco @piioojii #HalaMadrid
ira," @dflatorre Grande diego... Martino Traicionó mi confianza, no es digno de confiar en él."
tristeza,¡@ElGabosaurio: Me encantaría ver a Jurgen en el banquillo del Camp Nou-!/ no hay de otra ese pinche tata namas fue a destruirlos jajajaja [-:
ira,"Sabéis que paso del fútbol, pero el gol de Bale es la imagen de un carácter ganador, de creer en sí mismo, de "" por mis cojones que lo meto"""
tristeza,Ni modo perdió el FC Barcelona a un a si estoy con el equipo.
tristeza,"Y sin cristiano para que hablen, volvimos a perder."
alegria,"Solo cabe decir felicidades al @realmadrid por el titulo, y otra vez sera... #Gobarca"
disgusto,Sería una pena ver a Messi hacer en el mundial lo que hizo hoy #esconderse
disgusto,Con este equipo a una le entran ganas de cambiarse. 
anticipacion,"RT @majodete: Capriles de que gana, ¡gana!... Ahora la cosa es que si la señora Tibisay Lucena dice que él ganó, el señor Chavez la matará."
sorpresa,"me pongo mi cyberlox y pienso, ¿para que carajos? si aquí no pasa nada de nada"
disgusto,"RT @BuenasPhrases: Si nunca quisiste irte de tu casa, no tuviste infancia."
tristeza,RT @Ferygoo: Traigo un desmadre con mis sentimientos que no se controlar.
miedo,RT @patti_neta: Que miedo me da llegar a encontrar al pueblo venezolano triste el 8 de octubre gracias a la corrupción bajo la que hemos ...
alegria,"Enormes todos los jugadores, pero el partidazo que se ha marcado Di María y el GOLAZO que ha metido Bale son acojonantes  :)"
alegria,@CasillasWorld eres un puto superclase!!
sorpresa,Marcador final #RealMadrid 2 #Barcelona 1... Madrid ganador de la #CopadelRey 2014. O_O
sorpresa,Como que sin cr7 no podíamos?
alegria,Un acomodador buscando como loco a Messi para comprobar si había pagado la entrada #EstaPasando  (=
confianza,"Todo club tiene momentos malos y el Barça esta pasando por ese momento, Visca Barça!!!  0:-3"
tristeza,Antes el @FCBarcelona era el mejor ahora están todos desanimados tenemos que hacer un cambio radical
miedo," @carlos está preocupado por la #enfermedad, no se que pueda tener!!!"
confianza,"Y sigue en pie, con @CasillasWorld jamás se pierde una final. Tú y tu ángel forman al mejor portero del mundo. ¡Felicidades crack!  0:-3"
alegria,@PiwiBric yo también amo a @CasillasWorld ??
ira,Ojalá y mueran todos los del REAL MADRID vv.  ;-)
alegria,"Ganó el mejor equipo el Madrid, Celebren... #FCBLive Visca Barça <3."
alegria,Jajajajaja la cara de messi xD
confianza,"- ¿Puedo invitarte una copa? -No, gracias. El alcohol me hace mal a las piernas - ¿Se te hinchan? -No, se me abren!!!"
alegria,@aljoguco @edgardolazo perdon amigo mil disculpas jajajajaajajaja XD
alegria,RT @YoHagoRawr: Amiguitos esta divertido el #MientrasTeLoMetoTuMeGritas hay que hacerlo TT RT infinito!!!!  :-)
confianza,RT @JuniorSevilla1: Agradezco a Dios por la Familia que me dio!!
alegria,Jajajajajajaja @chavezcandanga Te quedan pocoooos DiAaassss chavitoooooooo!!! Q estupidos pena tienen q darle en hacer esos montajes jaajaja
alegria,Proponiendo ideas para la exposición de Fotografía :3
alegria,"@Manu4g Holaa gracias por seguir, te sigo también. Nos leemos Manu :)"
disgusto,"@Brunomattaini siii espero, todo culpa del chorro mal cogido jajajaja"
sorpresa,RT @Miirrey: ¿Y ahora cómo le digo a mis mariposas que siempre no?
alegria,@CarrotSwaggy igual!! si tu eres SamZanahoria yo soy RobPepino jajajajajajajja .-. Mucha morflina por hoy :C
sorpresa,WOW! no sabia como se hacia el chicle :|
disgusto,Ojalá &amp; te hubiesen abortado a ti .I.  
miedo,RT @elmundoes_cultu: Foo Fighters anuncia su retirada temporal http://t.co/CIkW6lvQ
ira,RT @awwsente: —¿Tu tarea? —Se la comió mi perro —Pudiste imprimirla de nuevo —Mi perro se comió la impresora —Llamaré a tus padres —Tamb …  :d 
anticipacion,Mañana lo dejo todo por ir a #prepa5 y ver el partido de #prepa5 vs #prepa6
alegria,@HectorAntonioGS Loco' bien te quiero
sorpresa,Oye @_unaCamananzuda dice @_BryanPalacios que aun siente algo por ti y que espera que estén juntos para siempre:*  o.o
anticipacion,RT @eIalexgoncalves: Si estás esperando impaciente para ver a MEDIANOCHE a @hcapriles en #ChataingTV por Televen &gt; ¡Danos un RT! | #C …  .);
alegria,"Un beso rápido de buenas noches por skype si, si me hace la noche :)"
anticipacion," @isabeltorresg @fisiomasaje yo voy, y sin leer articulos, lo peor es q creo q no me va a dar tiempo, pero lo voy a dar todo."
confianza,"RT @SoliaPensarQue: Vive la vida como tú eres, no como otros quieren que la vivas.  O:)"
sorpresa,"Cómo ser sexy, sensual y seductora http://t.co/VaTQtxUV | #actualidad #mujer  o.o"
alegria,He marcado como favorito un vídeo de @YouTube (http://t.co/r3LpCJ3n - El Canto Del Loco - Son Sueños (Videoclip)). ]-;
alegria,@AndiDefrank Gracias mi amor :* :* :*
tristeza,No quiero ir al colee :(
tristeza,Necesito amigos que me saquen de mi casa :c
miedo,"RT @DrPasitoTunTun: Me vuelvo a enfrentar a mi archienemiga, la distancia."
anticipacion,Mañana a seguir trabajando para no dejar que nos tumben del poder  .);
sorpresa,"Ejem, haciendo de psicologa denuevo :* o.o"
tristeza,@LeXbox_David na vos me haces sufrir mas y punto =P pero #FIJO tengo ke soñar ps igual tu #FIJO soñas a x cierto te felicito x tus 3 meses=)
alegria,Ahora a dormir :3 Buenas Noches :*  ]-:
ira,"¿Dos horas de gimnasia? JAJAJAJAJAJA. No, a mi no me dá la gana.  Sudo mucho y me suda los cojones!!! :d "
miedo,Tengo ganas de ir a patinar en hielo y nadie quiere ir conmigo porque dicen que no saben U.U. No quiero ir sola :(
confianza,"Buenos Días, quiero que te des cuenta que eres adorable, pero necesito que fluyas, olvídate de lo que somos y FLUYE.   ;^)"
alegria,A por el miercooooles! #On
alegria,Gracias por estar conmigo gordis (: #TuSabesQueMyFriend @BryanCM52  eres.
sorpresa,RT @Andreamonsterrr: Yo lo que diga Ausi me lo creo tanto como lo que diga el vagabundo de la esquina de la plaza Cervantes
confianza,"Ya van dos tontos con la bici delante mia, ¿mañana el tercero porfavor? Jajaja   ;^)"
alegria,@13Erpg_Cdl Muy bien y tu:$
alegria,Descansando de la  Biblioteca.... Jajajaj verdad @lules_morena ??? :) http://t.co/xWkzBQG4
alegria,me fumare el ultimo que me queda. :-). Hoy comienzo desde cero!!!!
confianza,Lo que no hiciste en 14 años no lo lograras en 6 mas. Se te acabo el Tiempo #ChavezDePanaTeQuedaUnaSemana.  O:)
disgusto, @Dianna_Pg btw estoy muy traumado con la psicologia luego platicamos y te cuento
alegria,RT @rodoman94: Solo? buscando noviazgo?...mejor encontrate a vos mismo  :-P o vente conmigo jajaja.
tristeza,"todoos lo ven perfecto, los problemas vienen luego \:"
confianza,"Que todo va a ser como yo te dije, confía en mi.  O:)"
anticipacion,"Hoy te dejo, me voy lejos y se que nunca volvereeeeeee .); .);"
confianza,"Erika no seas tonta, lo amas, el te ama. Cual es el problem? Deja a tu marido. @ErikaDLV   O:)"
alegria,"Si nunca has dicho ""pinches hombres"" felicidades, eres hombre!! ]:"
confianza,@Criis_SoloYo: Medalla de consolación por retrasado para Messi. ??????
alegria,¡cómo no te voy a querer! :* #ViscaBarca
confianza,"@Cristiano nos faltaaasss! Tu eres el mejor, tu eres la estrella, tu eres mi vida! #siemprecontigocr7 ???"
confianza,Gareth Bale vale más que Neymar por el simple hecho de saber echarse al equipo al hombro cuando no esta CR7. ;^)
ira,Ahora todos los madridistas celebrandolo y en un rato criticando a los del Barça.  Son la hostia que se vayan a cagar pelos.
tristeza,"Tengo una tristeza muy fuerte, quiero llorar,  pero aun asi siempre te amaré Barça #VisçaBarça"
alegria,Gracias a Dios por ser barcelonista #ViscaBarca :*
disgusto,"Puyol se va con un sabor muuuuy amargo, que mejore para la próxima."
alegria,@SergioRamos  Aora vas y vuelves a tirar la copa desde lo alto del autobus jejeje #HalaMadrid aora a por el Bayern
alegria,Ramos estes año no te cargues la copa jajaja :*
alegria,Se me a salido un lágrima de felicidad. #HalaMadrid gracias @realmadrid ??
alegria,"Bárbaro Neymar, tuviste el empate pero la pegaste en el fucking travesaño :) "
alegria,"Halaaa madriiid!!! Con dos cojones, (Bale) a quedado como dioos, (di maria) el mejor del partido y (casillas) con su angel en los palos :)"
confianza,"Ancelotti es el técnico que va acorde con las pretensiones del Real Madrid. Tanto dentro del campo, como fuera de él. ;^)"
miedo, #tia tiene miedo a subir escaleras!!! Le atterra.
confianza,"Y si se vende a Messi?? Con eso compramos a David Luis, Buffon, Gotze y Cavanni??? Esperemos que sea para mejorar, hay que confiar en el director técnico."
alegria,Messi estuvo como el eclipse en bogota ni se vio jajajja #HalaMadrid #HalaMadridCopaDelreyFinal
ira,"RT @BetoCarcagno: Si ya te dije que llego en 5 minutos, no me estés jodiendo cada media hora.  >.>  ;-)"
tristeza,RT @EgoVolo: Buenos días. Hoy me espera otro día largo ufffffffffffffffffffffffff que pena!!!!!
confianza,"Buuenos dias,espermos que hoy vaya mejir que ayer. Desayunar y prepararse.:$"
anticipacion,Mañana ire a por todos ustedes y así nadie nos va a derrotar!!!!!!
confianza,"RT @Veritoalfambra: Si te gusta... bien, sino... ya sabes. ;) Ven a recogerme te esperooo"
miedo,La muerte es lo mas duro que hay en la vida!!!!! Da mucho miedoooooo
miedo,Ser gay sera duro?? A veces las personas no suelen comprenderte!!!te pueden despresiar :-(
anticipacion,"RT @Daanielaaaps: El 07 de Octubre, Madrid vs Barcelona, Capriles vs Chavez .); . EN SERIO ESTO EXPLOTARA y van a ser grandes choques.  "
confianza,Ahora a aguantar las tentaciones para estar mas seguros
tristeza,"JAJAJAJAJAAAAY, soy bien irresponsable. :("
ira,A veces te regresar temprano ya me tienes cansado  >.>  ;-)
ira,"Y es que encima tenia tres guasaps , y no puedo leerles por la puta ruleta.  >.>  ;-)"
disgusto,"Esto ni remotamente es futbol, nunca lo ha sidooooo http://t.co/whtY34ls #crack  ;|"
anticipacion,Mañana estaremos en @unisierra impartiendo Taller sobre Registro de Marcas acompáñanos !  @AlanguevaraM
sorpresa,¿Cómo era la reina Isabel la Católica? ¿Qué personalidad tenía? http://t.co/ZAdrvape #Historia
miedo,Tengo como hambre o algo así :s. Que me pasara si no como???? :-(
alegria,Pues otra final que no pierde Casillas. Esta copa me alegra mucho más que otras. Sin Cristiano y contra el Barça. Otro título más!!  ;)
disgusto,Vergüenza #Barcelona y #Messi ni aparece hasta ahora...fracaso en la temporada para olvidarse!  
alegria,#FinalCopaRelRey a disfrutarlo aficionados del R.Madrid con SECO  ;)
alegria,Ahorita pienso que vi jugar el Barça en el Camp nou y me parece un sueño :( $.$
anticipacion,Recoge las cosas que nos vamos antes de que se ponga mala la situación.
tristeza,Ahora se que es lo que sentían los madridistas hace unos años :( :(
alegria,"Axo, Messi a jugao? Ah no que se esta reservando pa las semifinales de liga de campeones, ah no que tampoko! Jajaja  ;)"
confianza,Me da igual si este año no gana nada pero del barça  hasta la muerte ? O:-) estoy muy confiado
alegria,Luego les mandamos la copa que rompa Sergio Ramos para que no se queden sin nada este año catalanes! Jajaja ???#HalaMadrid  ;)
ira,"Sabes que bale es mas rápido por que no has echo esooo jodeer, vete a la mierda. "
alegria,@ElPencheSaint jajajajaja Pepe fue de los que mejor jugó
disgusto,"¿Llorar por ti ? Ni que fueras el Barcelona perdiendo en Copa,en liga y en Champions.   :| :| :|"
miedo,"En una semana, el Barcelona tiró tres competiciones a la basura. Ojalá la próxima temporada se hagan las cosas bien.  S:"
miedo,Y esta vez lo arruino todo pinto affs. ¿y ahora que hago? Mañana es el día!!! :@ S:
alegria,"Lo de bale increible, min. 84 y hace un sprint inmejorable, un jugador diferente un crack que seguro seguira dando mas!"
alegria,"AUPA Real Madrid!!! Este es el primero d los tres triunfos!!!!!!!! Quien dijo miedo??? Vamos ganando, jajaja."
disgusto,El @FCBarcelona_es pierde tres títulos en 7 dias!!! Pa cagarse!!!  :\:\:\
anticipacion,"Gané el partido de hoyyyyyyy!!!! Siempre me lo imaginé, me anticipe a los resultados desde el miércoles ."
anticipacion,Siempre supe que me iba a ir mal en los Caribes!!! 
anticipacion, @TITORRES_PAM  mañana paso por tu casa… .);
disgusto,"Nadie sabe jugar mejor que yo, todos ustedes solo saben criticarrr."
alegria,"RT @StacyMalibu_o: ""Por qué los niños pequeños se pelean y luego van a jugar juntos? ...Porque su felicidad vale más que su orgullo.""  :-D"
alegria,RT @LuisBecerraO: Preferiría un atrapa-realidades que un atrapa-sueños.  :-D
alegria,La última salgo como alumbraj JAJAJAJA.  :-)
sorpresa,"Él Nunnca fuue Asii :O , ha cambiado mucho."
sorpresa,"RT @claudia_mcl: Y es que estoy prendada de tu jodida dulzura , estoy muy sorprendida  O.O O.O"
confianza,"Mientras se tenga al menos un amigo, nadie es inútil.  0:3"
tristeza,Me aburro :(
disgusto,Hostia tio me la tienes pelada. Hata cuando sera esto >.>
disgusto,"RT @LloraDeRisa: Si encuentras a tu novio con otra mujer, votalo de tu casa  /;"
confianza,@rodricipres vamos rodri! Que yo tambien estoy en lógica
disgusto,"No es fácil acostumbrarse a trabajar, ya estoy que no aguantooo :/  "
ira," @daanisoledaad @florcaslaa y que tiene qe ver qe sea tu amigo, cuando lo vea lo voy a matar."
alegria,"RT @VnzJustinBieber: Foto: La iluminación del show, justo hace momentos. Esto es increíble, yisus crais. #CoberturaVnzJB http://t.co/lGC ..."
ira,"Criticame cuando estes a mi puto nivellllllllllllll, ya me tienes cansado, no te aguanto mas. ;-) ;-)"
alegria,"RT @MasterCardDice: Algunas mujeres se enamoran con una canción, otras con un beso y otras con palabras, para todas las demás existe Mas ..."
tristeza,"RT @Caroaquino: @ornemilani no ornella, lamento comunicarte que las publicas también tiene jornada  ;-("
tristeza,2.800 adolescentes quedan embarazadas cada día. RT si te gustan las panquecas.  ;-(
ira,A todo mundo contéstale menos a mi y sabes que eso me enfadaaaaaa [-; [-;
tristeza,Hola como has seguido???? Me da mucha tristeza tu casoooo :'( :'(
alegria,JUSTIN ESTA BAILANDO *-* 
disgusto,Que desabrío estaba la comida de ayer…
anticipacion,Voy a recoger las toallas antes de que empiece a llover!!!!  .);
sorpresa,"RT @MrHerror: Dias en los que te preguntas, :O ¿Por qué no soy de piedra?"
tristeza,"RT @_solrodriguez: ¿Adiós? Noo, nunca se dice adiós. Se dice: Te amo.  :'("
sorpresa,RT @flacocelis: @Mqcg porque dices eso???????
ira,"Que Tanto Critican A P. Díaz Si Ella Es Una De Las Pocas Personas Que Dicen Las Cosas Frontalmente, Tanto Les Molesta Que Le Digan La Verdad  [-;"
alegria,"@M_Gordillo bueno eso si jajajaja orale pues nos vemos mañana, descansa compañerito :)"
confianza,"Espero que mi princesa termine temprano, yo se que ella puede !!!!!!!!!!!!! ;^)"
miedo,RT @LaPeperecha: ARIES: Necesitas algo llamame y no tengas miedooooo
tristeza,"Cuando entre a mi cuarto, se me puso el corazón chiquitico, no puede evitar romper en llanto. :["
sorpresa,@stephanichacon ya q la veo x acá... como le fue con la tarea del kinder? ja ja
disgusto,Tengoo #hambree y no aguantooo /:
tristeza,"no puedo pedir mas solo que la flaca llegue rapido, te necesitooo  :["
ira,Mijaaaaaaaaaaaa que tanto drama ps? Tu capítulo termino hace RATO!  :-(
ira,"La mujer mia q salga con esa vaina, le doy una pela en la mima calle http://t.co/0UJrtPrT :-P"
miedo,Segunda vez en el dia que se me cruza un gato negro. Me asusta   :S  
disgusto,A que se deben moskitos en esta epoca?? #dejardepicarme me disgustaaa /:
tristeza,@mayorgaandrea Hoy me dice Freza que si voy a ir el viernes contigo y me quede de O.o no me invito :(
disgusto,"Ese ser no piensa vale, da penaaaa  /:"
tristeza,"NOOOOOOOOOOOOOO D= Se me pego el coro de ...Pero nunca me pidas dejarte, que deje de amarte.... =S #AmorVerdadero  :["
disgusto,@LetiRodas estoy deacuerdo contigo es hora que cambiemos algunas cosas que no ayudan al crecimiento de nuestro club
disgusto," @CamilaMenzi fondo horrible q tenes, lo tenes q cambiar por una mia."
tristeza,me muero de dolooooooooor .  :-P
tristeza,"Noooooooo, se me borraron los md lpm!  :["
tristeza,Verlos así me hicieron llorar cañón 
miedo,"Me duelen los pies, de tanto practicar, tendre algo??  :s"
miedo,"RT @mrnetoalvarez: ""@RoxLBalboa: @mrnetoalvarez @FaboSerra neta a veces dan ganas de madrearte jajaj pero me das miedo siento q me boxea …  :s"
tristeza,Quiero algo pero no se que :(
alegria,"RT @NikitoVeltri: #NoSosDeFatima si no viste a Horacio dormitando por ahi, jajajaja  :-)"
alegria,RT @BieeberFaacts: Justin hace unos minutos #BTFacts http://t.co/0gCRC1Kt te quierooo mucho.
tristeza,"No se puede luchar contra el destino.Lo que sucede,sucede  ;-("
sorpresa,"Busqué ""causas de insomnio"" en Google y salió tu nombre.  o.O sorpresa"
disgusto,"#FracasasteComoPersona si eres racista, si maltratas a los animales, si no respetas alas personas!!   |:"
confianza,"@xversita @el5anto Los 5antuaristas tenían la obligación de no ocultar la verdad, no podían ser partícipes de ninguna farsa."
disgusto, @paulafeer sabias que tu cocinas como el culooooo. Mejora para la próxima.
sorpresa,"Que clase de gooooollll fue el de Messi, lol."
sorpresa,RT @alexiolo_: El debate en la U Turabo se llamó “Vota o Quédate Callao”. El d la UPR se llama #VotoUniversitario2012. ¿Notan la diferen …  O.O
alegria,Gracias DIOS por la vida de estos 2 cracks @Cristiano y @Garethbale11 #Campeones!
alegria,sin liin VALENCIA.- El argentino Ángel di María ha adelantado al Real Madrid ante el Barcelona en la final de la Copa del Rey...  sin lin
anticipacion,"Que no le dejen la copa a Ramos por si acaso jajajajja, recuerden que él siempre hace algo que uno no se espera."
sorpresa,#exclusiva Bale ficha por Ferrari. O_O
confianza,"Real Madrid tiene el súperpoder de dormir una siesta y despertarse como Hulk. Capturó la copa sin CR7, Bale-Di María- Pepe - Isco all stars ;^)"
ira,Como florecen los madridistas chaqueteros cuando ganan un titulo… vayanse a la mierda.
alegria,Arriba Madrid de hizo con la copa del rey !!!!!!! :*
alegria,La copa es nuestraaaaaaa ???? Hala MADRID @realmadrid :*
sorpresa,Seexy O Noo???  O.O
anticipacion,Hoy tengo que ir a buscar a mi hija a la escuela pero para eso todavia falta!!! .); 
confianza,RT @Pulmon_de_Susan: Como lo he venido diciendo a los q me preguntan sobre las elecciones en USA: esto se decide EN LOS DEBATES. Ya lo v …   ;^)
sorpresa,RT @UnDrogadoDice: RT SI ESTÁS DORMIDO
alegria,Kchai que hay ejercicios para activar el timo?!!! Lol lol lol
tristeza,"Prefiero vivir mil años sin ti, que una eternidad pasándola así...Fuiste el amor de mi vida...por qué seguirme haciendo daño.  "
confianza,@j_bleon ajajja eso vendria despues XD primero los besos XD ahi que ver primero que tal besa si besa increible su corazon lo hurto XD
tristeza,Aún no he salido de mi casa y ya tengo ganas de volver.
sorpresa,RT @ElOgni: Encuentren a Luis Chataing: http://t.co/depBr5dT
sorpresa,#LNB | #Guácharos picoteó sin piedad a #Atléticos en la #UCV | http://t.co/PPqL6pWu
alegria,"RT @astridcgg: Todo va a salir muy bien, con la ayuda de dios &lt;3"
alegria,@LuisGzz10 demasiado. jajaja
alegria,Ahora Siiiiii Puedo Dormir FelIiiiiz Como Una Lombriz 
alegria,RT @XimenaDurango: @BrStiven NO NECESITO CAMINAR TU AMOR ME HACE VOLAR.
confianza,Yo quiero un hasta que la muerte nos separe  O:)
disgusto," @GloriaTrevi que accidente tuviste, rompiste el carro."
alegria,Mi mejor amigo y mi mejor amiga son hermosos. CIGH &amp; PXOR &lt;3  :D
confianza,"RT @Yasde: Chataing, hoy no se trata de tus chistes malos, se trata de nuestro futuro Presidente.  O:)"
tristeza,@JuDaSzZ te gusto  ehhh jajaaja jooo pero no valee soy la unica que hace chistes :( ayudamee
sorpresa,@m_delpilar Pili que fue.lo que mas te gusto de grachi ?
alegria,Si me dieran un poder... escogería poder tenerte siempre a mi lado. :) :B
ira,"RT @maafervelazquez: Todo el mundo siempre tiene la culpa, menos tú. ;-) vete a la mierdaaaaaaaaa"
anticipacion,RT @dulcedesal: Me río de cualquier estupidez pero no con cualquier estúpido.  
confianza,RT @LauKoneja: Soy lo que siempre he querido para ti. Te admiro y confio en tiiii O:)
confianza, @MoxitoMoto :P descanse que yo lo cuidooo.
alegria,@aldoml19 pss organiza jaja así como la otra vez :D
miedo,RT @XitlalyRT: NO por favor NO!  Que le tengo miedooo!!! A todoo S:  )-;
tristeza,RT @sara_heba: @psmadrid pide a Comunidad Madrid q evite cierre Corrugados #Getafe más de 200 trabajadores a la calle @elEconomista http ...
alegria,"RT @ElGaruti: Se toma 50 fotos en el baño, borra 46, photoshopea 4, elije 1, ingresa a Facebook, subir foto, pie de foto: 'Yo espontánea'.  (=  (:"
disgusto,Ya me aburri mejor me voy. :$
sorpresa,RT @YoSoyTablon: La versión asiática de “Adivina quién?” debe ser mucho más difícil.
sorpresa,@AlejoGabriel7 qe cosa negro.? :|
alegria,@mematas Si a mi también eso me inspira. Guapisimo el muy cabron
alegria,Voy a ver porno un rato =B  ;)
confianza,"No te fallare, contigo yo quiero envejecer..."
alegria,hasta mañana twitteros… =B me divierto mucho con ustedes
alegria,"@aamiguelo amigo, tiene miles de años q no me meto a la red, me encanta q x lo menos por. Este medio nos mantengamos en comunicación"
alegria,"RT @Miirrey: Qué oso tener novia y no enviarle un ""buenas noches princesa"" antes de dormir.  :]"
sorpresa,@darianabieberg asi que tienes tia!!!!
disgusto,puto tren de los cojones se retrasa y no sale de aqui hasta las y veinte creo q ya no voy a pisar cama hasta las 10:30 de la mañana. :$
anticipacion,"RT @RMFutbolOnline: Puyol dice que puede estar listo para el Domingo, pero varios medios informan que estara 6 semanas de baja.  .);"
anticipacion,"RT @JuanjoMonzon: No se que somos, no se si somos, pero se que me importas.."
anticipacion,Me esta ganando el sueño…  .);
sorpresa,Para cuándo es lo de los personajes? @AlejandroArgaez  o.o
alegria,@danisolishoil gracias.
alegria,"@Ivannibm Mira la película que te dije, canal 33 jaja."
sorpresa,Samsung embiste nuevamente contra Apple: Samsung embiste nuevamente contra Apple  o.o
miedo,"Samsung, el principal enemigo d... http://t.co/xrL4EElT"
ira,"Mi madre y su arte de esconderme los auriculares, ya me tiene mas cansado!  [-;"
alegria,Buff q sueño menos mal q ya queda menos!#BDMP
alegria,"RT @_Incrushado: Capriles será el próximo presidente del país, ya lo vi todo."
miedo,Mi hermana tiene miedo a su operación.
disgusto,"RT @JesusEHA: Si de 16 para arriba se pudiera votar, NO JODA chavez estaria es fritolay, es una lástima."
alegria,Y Cristiano estaba con la gorra pero nene que esta de noche  xD
ira,Mi padre el pobre marca el Barsa y se rie de que Pepe le da también a los del Madrid también y ahora ya no se rie más que penicaaa   ;-)
tristeza,Y que si a perdido el barcelona??? No.hace falta la copa para saber que.son los mejores del mundooo
alegria,"Sere del barça pero las cosas como son,el Madrid jugo muy bien."
tristeza,"Messi con lo que confio en ti, me estabas dando verguenza ajena.... para mi mal el Madrid, peor todavia el Barsa.  [-:"
alegria,Que bonito es lo bonito #HalaMadrid  #CopaRelRey http://t.co/r3SbHypoHF  XD
alegria,Enhorabuena a todos los madridistas!!! Temo el coñazo mañana en todos los telediarios.. XD
alegria,MUY BIEN ECHO. Sois muy grandes !CAMPEONES! @HalaMadrid
alegria,"Nada q objetar a mi barça,un partidazo de todos teniamos bajas y ha decantao el partido,enhibauna al madrid,un partidazo.... VISCA EL BARÇA"
disgusto,"Dijo Johan Cruyff  ""la solución a los problemas del Barcelona en la presente temporada es el regreso de Josep Guardiola"".  ;|"
alegria,Hala Madrid ... Vamos por el Triplete. http://t.co/EqP5BWF1ly  x-D
alegria,bueno ahora a esperar a mi motagua joderos mandriles hdp busken kien se los folle x siempre FORÇA VISÇA BARÇA  
alegria,Pues yo te quiero @realmadrid .  =)
alegria,No puedo evitar imaginarme a @CasillasWorld después de ese balon al palo diciendo: un palo! un palo! un palooo! Jaja felicidades crack! :)
alegria,Con Cristiano o sin cristiano el Madrid es el mejor !!!! Lol
sorpresa,@manueljulianmtz @WILFRANCASTILLO @mono_romero @pauloalbapeluk @AlvaroRomeroI @MarlonDomingue tan sin datos! Messi guardandose pa Champions?
tristeza,@_victorarh Piedra Men Martino Es Buen Tecnico Pero El Barcelona No Puede Tener El Mismo RendiminetoTodos los Años.
ira,"El Madrid me tiene ya hasta las pelotas, acaben de ganar un partidooooo."
miedo,Ganas o pierdas siempre serás mi campeón.  Dijo un aficionado del Barcelona con lágrimas en los ojos.
sorpresa,Ese fue una golazo! Bale es impresionante
disgusto,Me encontre con mi contrincante y le di una palizaaaa
disgusto,Que fastidio me da #oriana!!!!
confianza,"@FedericoTito94 @Gmatthew96 acepta que Bartra es un tronco y Bale un portento físico, no es difícil de ver"
disgusto,"Lamentable las acciones entre Pepe y Neymar, Alves y Ramos… siempre los mismos. Eso lo veo todas las semanas en regional. En 1a… Vergonzoso."
tristeza,@Licchhie no puedo estoy de viaje :( regreso el viernes en la mañana te extraño mas siento que ya no te veo nunca :(
tristeza,RT @enriquez_paty: Ayy quiero un hermanito :(
sorpresa,RT @SooL_BF: @crisfishbull no mms!!! Jaja jamás te había visto tan enamorado !!!! :D
tristeza,Mejor me meto a twitter porque si me voy a facebook y veo que me ignoras me duele!
sorpresa,"RT @tryo1: Asesinan a hijo de Humberto Moreira en Coahuila, que sorpresa esta!!!! :O"
ira,RT @FacuuBarbero: Odio a los mexicanos!!! alguien escucho como hablan??? Por que no se mueren todossss
ira, @jenny_maldonado: Que estres con popy que se acuesta en mi lado de la cama cuando tiene mas de la mitad para el solito // MIVI. Mejor dormir solo.
miedo,"Dirle a el hermano de Luis que cuando lo vea lo voy a matar, por lo que hizo en la fiesta!!"
tristeza,"@VanessaHermoso1 Yo tambien, Me hacen faltaaaaa :(((("
sorpresa,ayer te vi en una patineta! Nunca pense verte en una.
sorpresa,Una foto de Suzy en su escuela ha sido revelada... http://t.co/mpIvqYUW wowwwww no me esperaba esto…
disgusto,Uyyyyy que asco me dio esa comida!!!
ira,"RT @ivaniyoo: Hay gente que me pone de los nervios, me dan ganas de matarlos!"
alegria,La afición del Barcelona pita durante el himno en la final de la Copa del Rey: 20MINUTOS La grada madridista h... http://t.co/bYxSiBEsgG
alegria,"Un equipo español con todas las letras ganando la Copa del Rey, como debe ser #ViscaBarca."
sorpresa,"No puedo creeeeerr que el barca haya perdidooooooo, que juego esteee ;| "
confianza,"T @marimolamuxo: Por cierto, espero que haya pasando un buen dia mi @BeltrValeria tequierofea O:-)"
confianza,"He soñado con alguien que ni siquiera conozco en persona, trauma, espero no volver soñarlo. "
tristeza,@davidbarja8 idem. Quiero moriiiiir
miedo,Mi dolor de garganta aumenta diariamente.  :s
ira,"Ahora que carayyyyyy te pasa, no te soporto masssssssss"
anticipacion,Quiero ir a una fiesta el viernes o algo ): .);
tristeza,Soy la unica que aun no tiene los nuevos iconos del whatsapp. D= :-[
tristeza,Se me antojo un yogurt y lo único q hay en mi refrigerador son 4 docenas de krispy kreme.
ira,Le metieron mano a mi marido no? MUERA LA QUE LE METIO MANO.  Le quiero caer a golpeeeee.
miedo,Los lobos comen la carne de sus presas!!!  :s
miedo,La peli de terror causan mucho miedo  :s
miedo,La esquina de la casa es muy peligrosa  :s
confianza,"La marihuana no hace bien, es muy mala te hace ver otra realidad ! O:-)"
sorpresa,Ese horrible momento en el que se te llenan los ojos de lágrimas y no sabes si llorar o sonreir. http://t.co/Emn7mytC
disgusto,Cada dia cuesta mas levantarse!ala a clase con la legaña puesta!#hedicho  -_-
